Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;codigo da operacao;Operação;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total;Código do produto;Descrição Produto;Unidade de medida;Quantidade de itens na unidade;Quantidade de itens;CFOP;Frete do item;Seguro do item;Desconto do item;IPI do item;Base de cálculo do ICMS do item;ICMS do item;Base de calculo do ICMS ST do item;ICMS ST do item;DAE Item;ICMS desonerado do item;ICMS antecipado do item;FECOP do item;FECOP ST do item;FECOP retido do item;Valor unitário;Outras despesas do item;Valor total do item
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000001557;BATATA DOCE KG;UN;62,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;225,00;0,00;225,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000002494;BATATA LISA KG;SC;258,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1700,00;0,00;1700,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010506;BERINJELA KG;CX;10,80;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;65,00;0,00;65,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000012309;BROCOLIS UN;UN;1,00;30,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,50;0,00;165,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000002495;CEBOLA GRAUDA KG;SC;198,80;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;850,00;0,00;850,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010509;CEBOLA ROXA KG;SC;20,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;110,00;0,00;110,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000004799;CENOURA KG;CX;132,90;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;870,00;0,00;870,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000004796;CHUCHU KG;CX;40,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,00;90,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010526;COCO SECO KG;CX;46,70;1,00;1102;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;150,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000004804;INHAME KG;SC;64,90;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;225,00;0,00;225,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000004797;LARANJA PERA KG;CX;208,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00;0,00;500,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000002498;LIMAO KG;CX;108,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;275,00;0,00;275,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010627;MACA GALA KG;CX;36,90;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;260,00;0,00;260,00
