Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
22/05/2026;;00000000007660;PERA WILLIAM KG;6,735;67,29;9,99;51,37;0,00;0,00;15,92;23,66;31,00;0,83;94,46;;;
22/05/2026;;00000000002502;PIMENTAO KG;18,275;133,23;7,29;89,81;0,00;0,00;43,42;32,59;48,34;2,27;96,72;;;
22/05/2026;;00000000011757;PIMENTAO VERMELHO E AMARELO KG;0,375;5,25;14,00;2,83;0,00;0,00;2,41;46,00;85,19;0,13;96,85;;;
22/05/2026;;00000000010507;QUIABO KG;17,043;136,18;7,99;198,88;0,00;0,00;-62,70;-46,04;-31,53;-3,27;93,58;;;
22/05/2026;;00000000010510;REPOLHO KG;13,045;67,69;5,19;45,15;0,00;0,00;22,54;33,30;49,92;1,18;94,75;;;
22/05/2026;;00000000010511;REPOLHO ROXO KG;0,245;2,20;8,98;0,91;0,00;0,00;1,29;58,57;141,39;0,07;94,82;;;
22/05/2026;;00000000012320;SALSINHA UN;2,000;2,98;1,49;3,40;0,00;0,00;-0,42;-14,09;-12,35;-0,02;94,80;;;
22/05/2026;;00000000004689;SUCO DA CASA MORANGO 300ML;1,000;4,99;4,99;0,00;0,00;0,00;4,99;100,00;0,00;0,26;95,06;;;
22/05/2026;;00000000011761;TANGERINA POKAN KG;34,180;136,37;3,99;88,82;0,00;0,00;47,55;34,87;53,53;2,48;97,54;;;
22/05/2026;;00000000002497;TOMATE CARMEM KG;38,475;276,62;7,19;282,85;0,00;0,00;-6,23;-2,25;-2,20;-0,32;97,21;;;
22/05/2026;;00000000002474;TOMATE GRAPE 180G UN.;1,000;6,49;6,49;5,42;0,00;0,00;1,07;16,49;19,74;0,06;97,27;;;
22/05/2026;;00000000010772;TOMATE ITALIANO KG;41,330;301,28;7,29;276,61;0,00;0,00;24,67;8,19;8,92;1,29;98,56;;;
22/05/2026;;00000000011623;TORTINHA DE LIMAO DA CASA P;6,000;35,94;5,99;0,00;0,00;0,00;35,94;100,00;0,00;1,88;100,43;;;
22/05/2026;;00000000019191;UVA PRETA S/ CAROCO BDJ 500G;27,000;161,73;5,99;148,20;0,00;0,00;13,53;8,37;9,13;0,71;101,14;;;
22/05/2026;;00000000004080;UVA PRETA S/ CAROCO KG;0,475;3,08;6,48;33,25;0,00;0,00;-30,17;-979,55;-90,74;-1,57;99,57;;;
22/05/2026;;00000000019308;UVA VERDE S/ CAROCO BDJ 500G;7,000;62,93;8,99;54,60;0,00;0,00;8,33;13,24;15,26;0,43;100,00;;;
23/05/2026;;00000000010523;ABACATE KG;5,525;24,25;4,39;15,00;0,00;0,00;9,25;38,16;61,72;0,40;0,40;;;
23/05/2026;;00000000004802;ABACAXI GRANDE UN.;2,000;15,98;7,99;14,00;0,00;0,00;1,98;12,39;14,14;0,09;0,48;;;
23/05/2026;;00000000004793;ABOBORA SERGIPANA KG;16,345;81,56;4,99;55,43;0,00;0,00;26,13;32,03;47,13;1,13;1,61;;;
23/05/2026;;00000000010505;ABOBRINHA KG;11,585;38,50;3,32;40,27;0,00;0,00;-1,77;-4,59;-4,39;-0,08;1,53;;;
23/05/2026;;00000000012303;AGRIAO UN.;13,000;32,37;2,49;15,60;0,00;0,00;16,77;51,81;107,50;0,72;2,26;;;
23/05/2026;;00000000011048;AIPIM KG;7,310;21,85;2,99;13,60;0,00;0,00;8,25;37,77;60,70;0,36;2,61;;;
23/05/2026;;00000000012302;ALFACE CRESPA UN.;68,000;169,32;2,49;85,00;0,00;0,00;84,32;49,80;99,20;3,64;6,25;;;
23/05/2026;;00000000002496;ALHO KG;27,595;496,63;18,00;376,22;34,76;0,00;120,41;17,25;32,00;5,19;11,44;;;
23/05/2026;;00000000004887;AMEIXA FRESCA KG;0,680;13,60;20,00;9,24;0,00;0,00;4,36;32,05;47,17;0,19;11,63;;;
23/05/2026;;00000000010518;BANANA DAGUA KG;30,860;123,09;3,99;84,30;0,00;0,00;38,79;31,52;46,02;1,67;13,30;;;
23/05/2026;;00000000004801;BANANA PRATA KG;107,690;537,33;4,99;369,63;0,00;0,00;167,70;31,21;45,37;7,23;20,54;;;
23/05/2026;;00000000009239;BANANA PROMOCAO BDJ;2,000;5,98;2,99;0,00;0,72;0,55;5,98;78,75;0,00;0,26;20,79;;;
23/05/2026;;00000000010685;BATATA BAROA BANDEJA;2,000;9,98;4,99;6,30;0,00;0,00;3,68;36,87;58,41;0,16;20,95;;;
23/05/2026;;00000000007656;BATATA BAROA BDJ UNIDADE;1,000;5,89;5,89;4,20;0,00;0,00;1,69;28,69;40,24;0,07;21,03;;;
23/05/2026;;00000000001557;BATATA DOCE KG;11,760;55,17;4,69;41,99;0,00;0,00;13,18;23,90;31,40;0,57;21,59;;;
23/05/2026;;00000000002494;BATATA LISA KG;135,790;1084,93;7,99;843,64;0,00;0,00;241,29;22,24;28,60;10,41;32,00;;;
